dataset,rec_id,subject,chan,split,n_tokens,path
dodh,18ede714-aba3-5ad8-bb1a-18fc9b1c4192,18ede714-aba3-5ad8-bb1a-18fc9b1c4192,F3-M2,train,298500,/data/gen/tokens/dodh/18ede714-aba3-5ad8-bb1a-18fc9b1c4192__F3-M2.npy
dodh,18ede714-aba3-5ad8-bb1a-18fc9b1c4192,18ede714-aba3-5ad8-bb1a-18fc9b1c4192,F3-F4,train,298500,/data/gen/tokens/dodh/18ede714-aba3-5ad8-bb1a-18fc9b1c4192__F3-F4.npy
dodh,095d6e40-5f19-55b6-a0ec-6e0ad3793da0,095d6e40-5f19-55b6-a0ec-6e0ad3793da0,F3-M2,train,357600,/data/gen/tokens/dodh/095d6e40-5f19-55b6-a0ec-6e0ad3793da0__F3-M2.npy
dodh,095d6e40-5f19-55b6-a0ec-6e0ad3793da0,095d6e40-5f19-55b6-a0ec-6e0ad3793da0,F3-F4,train,357600,/data/gen/tokens/dodh/095d6e40-5f19-55b6-a0ec-6e0ad3793da0__F3-F4.npy
dodh,3e842aa8-bcd9-521e-93a2-72124233fe2c,3e842aa8-bcd9-521e-93a2-72124233fe2c,F3-M2,train,186000,/data/gen/tokens/dodh/3e842aa8-bcd9-521e-93a2-72124233fe2c__F3-M2.npy
dodh,3e842aa8-bcd9-521e-93a2-72124233fe2c,3e842aa8-bcd9-521e-93a2-72124233fe2c,F3-F4,train,186000,/data/gen/tokens/dodh/3e842aa8-bcd9-521e-93a2-72124233fe2c__F3-F4.npy
dodh,25a6b2b0-4d09-561b-82c6-f09bb271d3be,25a6b2b0-4d09-561b-82c6-f09bb271d3be,F3-M2,train,318900,/data/gen/tokens/dodh/25a6b2b0-4d09-561b-82c6-f09bb271d3be__F3-M2.npy
dodh,25a6b2b0-4d09-561b-82c6-f09bb271d3be,25a6b2b0-4d09-561b-82c6-f09bb271d3be,F3-F4,train,318900,/data/gen/tokens/dodh/25a6b2b0-4d09-561b-82c6-f09bb271d3be__F3-F4.npy
dodh,64959ac4-53b5-5868-a845-c7476e9fdf7b,64959ac4-53b5-5868-a845-c7476e9fdf7b,F3-M2,heldout,297000,/data/gen/tokens/dodh/64959ac4-53b5-5868-a845-c7476e9fdf7b__F3-M2.npy
dodh,64959ac4-53b5-5868-a845-c7476e9fdf7b,64959ac4-53b5-5868-a845-c7476e9fdf7b,F3-F4,heldout,297000,/data/gen/tokens/dodh/64959ac4-53b5-5868-a845-c7476e9fdf7b__F3-F4.npy
dodh,5bf0f969-304c-581e-949c-50c108f62846,5bf0f969-304c-581e-949c-50c108f62846,F3-M2,train,284100,/data/gen/tokens/dodh/5bf0f969-304c-581e-949c-50c108f62846__F3-M2.npy
dodh,5bf0f969-304c-581e-949c-50c108f62846,5bf0f969-304c-581e-949c-50c108f62846,F3-F4,train,284100,/data/gen/tokens/dodh/5bf0f969-304c-581e-949c-50c108f62846__F3-F4.npy
dodh,37d0da97-9ae8-5413-b889-4e843ff35488,37d0da97-9ae8-5413-b889-4e843ff35488,F3-M2,train,303300,/data/gen/tokens/dodh/37d0da97-9ae8-5413-b889-4e843ff35488__F3-M2.npy
dodh,37d0da97-9ae8-5413-b889-4e843ff35488,37d0da97-9ae8-5413-b889-4e843ff35488,F3-F4,train,303300,/data/gen/tokens/dodh/37d0da97-9ae8-5413-b889-4e843ff35488__F3-F4.npy
dodh,769df255-2284-50b3-8917-2155c759fbbd,769df255-2284-50b3-8917-2155c759fbbd,F3-M2,train,278700,/data/gen/tokens/dodh/769df255-2284-50b3-8917-2155c759fbbd__F3-M2.npy
dodh,769df255-2284-50b3-8917-2155c759fbbd,769df255-2284-50b3-8917-2155c759fbbd,F3-F4,train,278700,/data/gen/tokens/dodh/769df255-2284-50b3-8917-2155c759fbbd__F3-F4.npy
dodh,67fa8e29-6f4d-530e-9422-bbc3aca86ed0,67fa8e29-6f4d-530e-9422-bbc3aca86ed0,F3-M2,train,313800,/data/gen/tokens/dodh/67fa8e29-6f4d-530e-9422-bbc3aca86ed0__F3-M2.npy
dodh,67fa8e29-6f4d-530e-9422-bbc3aca86ed0,67fa8e29-6f4d-530e-9422-bbc3aca86ed0,F3-F4,train,313800,/data/gen/tokens/dodh/67fa8e29-6f4d-530e-9422-bbc3aca86ed0__F3-F4.npy
dodh,7d778801-88e7-5086-ad1d-70f31a371876,7d778801-88e7-5086-ad1d-70f31a371876,F3-M2,train,299700,/data/gen/tokens/dodh/7d778801-88e7-5086-ad1d-70f31a371876__F3-M2.npy
dodh,7d778801-88e7-5086-ad1d-70f31a371876,7d778801-88e7-5086-ad1d-70f31a371876,F3-F4,train,299700,/data/gen/tokens/dodh/7d778801-88e7-5086-ad1d-70f31a371876__F3-F4.npy
dodh,7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf,7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf,F3-M2,heldout,296700,/data/gen/tokens/dodh/7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf__F3-M2.npy
dodh,7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf,7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf,F3-F4,heldout,296700,/data/gen/tokens/dodh/7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf__F3-F4.npy
dodh,844f68ba-265e-53e6-bf47-6c85d1804a7b,844f68ba-265e-53e6-bf47-6c85d1804a7b,F3-M2,train,287100,/data/gen/tokens/dodh/844f68ba-265e-53e6-bf47-6c85d1804a7b__F3-M2.npy
dodh,844f68ba-265e-53e6-bf47-6c85d1804a7b,844f68ba-265e-53e6-bf47-6c85d1804a7b,F3-F4,train,287100,/data/gen/tokens/dodh/844f68ba-265e-53e6-bf47-6c85d1804a7b__F3-F4.npy
dodh,a25b2296-343b-53f6-8792-ada2669d466e,a25b2296-343b-53f6-8792-ada2669d466e,F3-M2,train,302400,/data/gen/tokens/dodh/a25b2296-343b-53f6-8792-ada2669d466e__F3-M2.npy
dodh,a25b2296-343b-53f6-8792-ada2669d466e,a25b2296-343b-53f6-8792-ada2669d466e,F3-F4,train,302400,/data/gen/tokens/dodh/a25b2296-343b-53f6-8792-ada2669d466e__F3-F4.npy
dodh,a30245e3-4a71-565f-9636-92e7d2e825fc,a30245e3-4a71-565f-9636-92e7d2e825fc,F3-M2,train,336600,/data/gen/tokens/dodh/a30245e3-4a71-565f-9636-92e7d2e825fc__F3-M2.npy
dodh,a30245e3-4a71-565f-9636-92e7d2e825fc,a30245e3-4a71-565f-9636-92e7d2e825fc,F3-F4,train,336600,/data/gen/tokens/dodh/a30245e3-4a71-565f-9636-92e7d2e825fc__F3-F4.npy
dodh,aa160c78-6da3-5e05-8fc9-d6c13e9f97e0,aa160c78-6da3-5e05-8fc9-d6c13e9f97e0,F3-M2,train,303000,/data/gen/tokens/dodh/aa160c78-6da3-5e05-8fc9-d6c13e9f97e0__F3-M2.npy
dodh,aa160c78-6da3-5e05-8fc9-d6c13e9f97e0,aa160c78-6da3-5e05-8fc9-d6c13e9f97e0,F3-F4,train,303000,/data/gen/tokens/dodh/aa160c78-6da3-5e05-8fc9-d6c13e9f97e0__F3-F4.npy
dodh,a4568951-bf87-5bbc-bc4f-28e93c360be6,a4568951-bf87-5bbc-bc4f-28e93c360be6,F3-M2,train,292500,/data/gen/tokens/dodh/a4568951-bf87-5bbc-bc4f-28e93c360be6__F3-M2.npy
dodh,a4568951-bf87-5bbc-bc4f-28e93c360be6,a4568951-bf87-5bbc-bc4f-28e93c360be6,F3-F4,train,292500,/data/gen/tokens/dodh/a4568951-bf87-5bbc-bc4f-28e93c360be6__F3-F4.npy
dodh,b5d5785d-87ee-5078-b9b9-aac6abd4d8de,b5d5785d-87ee-5078-b9b9-aac6abd4d8de,F3-M2,train,275400,/data/gen/tokens/dodh/b5d5785d-87ee-5078-b9b9-aac6abd4d8de__F3-M2.npy
dodh,b5d5785d-87ee-5078-b9b9-aac6abd4d8de,b5d5785d-87ee-5078-b9b9-aac6abd4d8de,F3-F4,train,275400,/data/gen/tokens/dodh/b5d5785d-87ee-5078-b9b9-aac6abd4d8de__F3-F4.npy
dodh,bb474ab0-c2ce-573b-8acd-ef86b0fa26a2,bb474ab0-c2ce-573b-8acd-ef86b0fa26a2,F3-M2,train,342600,/data/gen/tokens/dodh/bb474ab0-c2ce-573b-8acd-ef86b0fa26a2__F3-M2.npy
dodh,bb474ab0-c2ce-573b-8acd-ef86b0fa26a2,bb474ab0-c2ce-573b-8acd-ef86b0fa26a2,F3-F4,train,342600,/data/gen/tokens/dodh/bb474ab0-c2ce-573b-8acd-ef86b0fa26a2__F3-F4.npy
dodh,d3cadb78-cb8c-5a6e-885c-392e457c68b1,d3cadb78-cb8c-5a6e-885c-392e457c68b1,F3-M2,train,294600,/data/gen/tokens/dodh/d3cadb78-cb8c-5a6e-885c-392e457c68b1__F3-M2.npy
dodh,d3cadb78-cb8c-5a6e-885c-392e457c68b1,d3cadb78-cb8c-5a6e-885c-392e457c68b1,F3-F4,train,294600,/data/gen/tokens/dodh/d3cadb78-cb8c-5a6e-885c-392e457c68b1__F3-F4.npy
dodh,f2a69bdc-ed51-5e3f-b102-6b3f7d392be0,f2a69bdc-ed51-5e3f-b102-6b3f7d392be0,F3-M2,train,288000,/data/gen/tokens/dodh/f2a69bdc-ed51-5e3f-b102-6b3f7d392be0__F3-M2.npy
dodh,f2a69bdc-ed51-5e3f-b102-6b3f7d392be0,f2a69bdc-ed51-5e3f-b102-6b3f7d392be0,F3-F4,train,288000,/data/gen/tokens/dodh/f2a69bdc-ed51-5e3f-b102-6b3f7d392be0__F3-F4.npy
cap,brux1,brux1,Fp2-F4,train,143400,/data/gen/tokens/cap/brux1__Fp2-F4.npy
cap,brux1,brux1,F4-C4,train,143400,/data/gen/tokens/cap/brux1__F4-C4.npy
cap,brux1,brux1,C4-P4,train,143400,/data/gen/tokens/cap/brux1__C4-P4.npy
cap,brux1,brux1,F8-T4,train,143400,/data/gen/tokens/cap/brux1__F8-T4.npy
cap,brux1,brux1,FP1-F3,train,143400,/data/gen/tokens/cap/brux1__FP1-F3.npy
cap,brux1,brux1,F3-C3,train,143400,/data/gen/tokens/cap/brux1__F3-C3.npy
cap,ins1,ins1,Fp2-F4,train,480000,/data/gen/tokens/cap/ins1__Fp2-F4.npy
cap,ins1,ins1,F4-C4,train,480000,/data/gen/tokens/cap/ins1__F4-C4.npy
cap,ins1,ins1,C4-P4,train,480000,/data/gen/tokens/cap/ins1__C4-P4.npy
cap,ins1,ins1,C4-A1,train,480000,/data/gen/tokens/cap/ins1__C4-A1.npy
cap,brux2,brux2,Fp2-F4,train,313200,/data/gen/tokens/cap/brux2__Fp2-F4.npy
cap,brux2,brux2,F4-C4,train,313200,/data/gen/tokens/cap/brux2__F4-C4.npy
cap,brux2,brux2,C4-P4,train,313200,/data/gen/tokens/cap/brux2__C4-P4.npy
cap,brux2,brux2,F8-T4,train,313200,/data/gen/tokens/cap/brux2__F8-T4.npy
cap,brux2,brux2,FP1-F3,train,313200,/data/gen/tokens/cap/brux2__FP1-F3.npy
cap,brux2,brux2,F3-C3,train,313200,/data/gen/tokens/cap/brux2__F3-C3.npy
cap,ins3,ins3,Fp2-F4,train,309000,/data/gen/tokens/cap/ins3__Fp2-F4.npy
cap,ins3,ins3,F4-C4,train,309000,/data/gen/tokens/cap/ins3__F4-C4.npy
cap,ins3,ins3,C4-P4,train,309000,/data/gen/tokens/cap/ins3__C4-P4.npy
cap,ins3,ins3,C4-A1,train,309000,/data/gen/tokens/cap/ins3__C4-A1.npy
cap,ins3,ins3,F8-T4,train,309000,/data/gen/tokens/cap/ins3__F8-T4.npy
cap,ins3,ins3,F7-T3,train,309000,/data/gen/tokens/cap/ins3__F7-T3.npy
cap,ins2,ins2,Fp2-F4,heldout,502500,/data/gen/tokens/cap/ins2__Fp2-F4.npy
cap,ins2,ins2,F4-C4,heldout,502500,/data/gen/tokens/cap/ins2__F4-C4.npy
cap,ins2,ins2,C4-P4,heldout,502500,/data/gen/tokens/cap/ins2__C4-P4.npy
cap,ins2,ins2,C4-A1,heldout,502500,/data/gen/tokens/cap/ins2__C4-A1.npy
cap,ins7,ins7,Fp2-F4,train,444900,/data/gen/tokens/cap/ins7__Fp2-F4.npy
cap,ins7,ins7,F4-C4,train,444900,/data/gen/tokens/cap/ins7__F4-C4.npy
cap,ins7,ins7,C4-P4,train,444900,/data/gen/tokens/cap/ins7__C4-P4.npy
cap,ins7,ins7,C4-A1,train,444900,/data/gen/tokens/cap/ins7__C4-A1.npy
cap,ins8,ins8,Fp2-F4,train,300000,/data/gen/tokens/cap/ins8__Fp2-F4.npy
cap,ins8,ins8,F4-C4,train,300000,/data/gen/tokens/cap/ins8__F4-C4.npy
cap,ins8,ins8,C4-P4,train,300000,/data/gen/tokens/cap/ins8__C4-P4.npy
cap,ins8,ins8,FP1-F3,train,300000,/data/gen/tokens/cap/ins8__FP1-F3.npy
cap,ins8,ins8,F3-C3,train,300000,/data/gen/tokens/cap/ins8__F3-C3.npy
cap,ins8,ins8,C3-P3,train,300000,/data/gen/tokens/cap/ins8__C3-P3.npy
cap,ins5,ins5,Fp2-F4,train,516000,/data/gen/tokens/cap/ins5__Fp2-F4.npy
cap,ins5,ins5,F4-C4,train,516000,/data/gen/tokens/cap/ins5__F4-C4.npy
cap,ins5,ins5,C4-P4,train,516000,/data/gen/tokens/cap/ins5__C4-P4.npy
cap,ins5,ins5,C4-A1,train,516000,/data/gen/tokens/cap/ins5__C4-A1.npy
cap,ins4,ins4,Fp2-F4,train,381900,/data/gen/tokens/cap/ins4__Fp2-F4.npy
cap,ins4,ins4,F4-C4,train,381900,/data/gen/tokens/cap/ins4__F4-C4.npy
cap,ins4,ins4,C4-P4,train,381900,/data/gen/tokens/cap/ins4__C4-P4.npy
cap,ins4,ins4,C4-A1,train,381900,/data/gen/tokens/cap/ins4__C4-A1.npy
cap,ins6,ins6,Fp2-F4,train,483000,/data/gen/tokens/cap/ins6__Fp2-F4.npy
cap,ins6,ins6,F4-C4,train,483000,/data/gen/tokens/cap/ins6__F4-C4.npy
cap,ins6,ins6,C4-P4,train,483000,/data/gen/tokens/cap/ins6__C4-P4.npy
cap,ins6,ins6,C4-A1,train,483000,/data/gen/tokens/cap/ins6__C4-A1.npy
cap,n12,n12,C3-A2,train,297000,/data/gen/tokens/cap/n12__C3-A2.npy
cap,n12,n12,C4-A1,train,297000,/data/gen/tokens/cap/n12__C4-A1.npy
cap,n12,n12,O1-A2,train,297000,/data/gen/tokens/cap/n12__O1-A2.npy
cap,n12,n12,O2-A1,train,297000,/data/gen/tokens/cap/n12__O2-A1.npy
cap,ins9,ins9,Fp2-F4,train,335100,/data/gen/tokens/cap/ins9__Fp2-F4.npy
cap,ins9,ins9,F4-C4,train,335100,/data/gen/tokens/cap/ins9__F4-C4.npy
cap,ins9,ins9,C4-P4,train,335100,/data/gen/tokens/cap/ins9__C4-P4.npy
cap,ins9,ins9,FP1-F3,train,335100,/data/gen/tokens/cap/ins9__FP1-F3.npy
cap,ins9,ins9,F3-C3,train,335100,/data/gen/tokens/cap/ins9__F3-C3.npy
cap,ins9,ins9,C3-P3,train,335100,/data/gen/tokens/cap/ins9__C3-P3.npy
cap,n16,n16,Fp2-F4,train,307800,/data/gen/tokens/cap/n16__Fp2-F4.npy
cap,n16,n16,F4-C4,train,307800,/data/gen/tokens/cap/n16__F4-C4.npy
cap,n16,n16,C4-P4,train,307800,/data/gen/tokens/cap/n16__C4-P4.npy
cap,n16,n16,C4-A1,train,307800,/data/gen/tokens/cap/n16__C4-A1.npy
cap,n1,n1,F4-C4,train,346200,/data/gen/tokens/cap/n1__F4-C4.npy
cap,n1,n1,C4-P4,train,346200,/data/gen/tokens/cap/n1__C4-P4.npy
cap,n1,n1,F3-C3,train,346200,/data/gen/tokens/cap/n1__F3-C3.npy
cap,n1,n1,C3-P3,train,346200,/data/gen/tokens/cap/n1__C3-P3.npy
cap,n1,n1,C4-A1,train,346200,/data/gen/tokens/cap/n1__C4-A1.npy
cap,n6,n6,C3-A2,train,316200,/data/gen/tokens/cap/n6__C3-A2.npy
cap,n6,n6,O2-A1,train,316200,/data/gen/tokens/cap/n6__O2-A1.npy
cap,n2,n2,Fp2-F4,train,441000,/data/gen/tokens/cap/n2__Fp2-F4.npy
cap,n2,n2,F4-C4,train,441000,/data/gen/tokens/cap/n2__F4-C4.npy
cap,n2,n2,C4-P4,train,441000,/data/gen/tokens/cap/n2__C4-P4.npy
cap,n2,n2,C4-A1,train,441000,/data/gen/tokens/cap/n2__C4-A1.npy
cap,n11,n11,Fp2-F4,train,316200,/data/gen/tokens/cap/n11__Fp2-F4.npy
cap,n11,n11,F4-C4,train,316200,/data/gen/tokens/cap/n11__F4-C4.npy
cap,n11,n11,C4-P4,train,316200,/data/gen/tokens/cap/n11__C4-P4.npy
cap,n11,n11,F8-T4,train,316200,/data/gen/tokens/cap/n11__F8-T4.npy
cap,n11,n11,FP1-F3,train,316200,/data/gen/tokens/cap/n11__FP1-F3.npy
cap,n11,n11,F3-C3,train,316200,/data/gen/tokens/cap/n11__F3-C3.npy
cap,n7,n7,C3-A2,train,295200,/data/gen/tokens/cap/n7__C3-A2.npy
cap,n7,n7,O2-A1,train,295200,/data/gen/tokens/cap/n7__O2-A1.npy
cap,n9,n9,C3-A2,train,319200,/data/gen/tokens/cap/n9__C3-A2.npy
cap,n9,n9,O2-A1,train,319200,/data/gen/tokens/cap/n9__O2-A1.npy
cap,narco1,narco1,Fp2-F4,heldout,338400,/data/gen/tokens/cap/narco1__Fp2-F4.npy
cap,narco1,narco1,F4-C4,heldout,338400,/data/gen/tokens/cap/narco1__F4-C4.npy
cap,narco1,narco1,C4-P4,heldout,338400,/data/gen/tokens/cap/narco1__C4-P4.npy
cap,narco1,narco1,C4-A1,heldout,338400,/data/gen/tokens/cap/narco1__C4-A1.npy
cap,narco2,narco2,Fp2-F4,train,344700,/data/gen/tokens/cap/narco2__Fp2-F4.npy
cap,narco2,narco2,F4-C4,train,344700,/data/gen/tokens/cap/narco2__F4-C4.npy
cap,narco2,narco2,C4-P4,train,344700,/data/gen/tokens/cap/narco2__C4-P4.npy
cap,narco2,narco2,C4-A1,train,344700,/data/gen/tokens/cap/narco2__C4-A1.npy
cap,n10,n10,Fp2-F4,train,294000,/data/gen/tokens/cap/n10__Fp2-F4.npy
cap,n10,n10,F4-C4,train,294000,/data/gen/tokens/cap/n10__F4-C4.npy
cap,n10,n10,C4-P4,train,294000,/data/gen/tokens/cap/n10__C4-P4.npy
cap,n10,n10,F8-T4,train,294000,/data/gen/tokens/cap/n10__F8-T4.npy
cap,n10,n10,FP1-F3,train,294000,/data/gen/tokens/cap/n10__FP1-F3.npy
cap,n10,n10,F3-C3,train,294000,/data/gen/tokens/cap/n10__F3-C3.npy
cap,n3,n3,Fp2-F4,train,330600,/data/gen/tokens/cap/n3__Fp2-F4.npy
cap,n3,n3,F4-C4,train,330600,/data/gen/tokens/cap/n3__F4-C4.npy
cap,n3,n3,C4-P4,train,330600,/data/gen/tokens/cap/n3__C4-P4.npy
cap,n3,n3,F8-T4,train,330600,/data/gen/tokens/cap/n3__F8-T4.npy
cap,n3,n3,FP1-F3,train,330600,/data/gen/tokens/cap/n3__FP1-F3.npy
cap,n3,n3,F3-C3,train,330600,/data/gen/tokens/cap/n3__F3-C3.npy
cap,narco5,narco5,Fp2-F4,train,244800,/data/gen/tokens/cap/narco5__Fp2-F4.npy
cap,narco5,narco5,F4-C4,train,244800,/data/gen/tokens/cap/narco5__F4-C4.npy
cap,narco5,narco5,C4-P4,train,244800,/data/gen/tokens/cap/narco5__C4-P4.npy
cap,narco5,narco5,C4-A1,train,244800,/data/gen/tokens/cap/narco5__C4-A1.npy
cap,n5,n5,Fp2-F4,train,314400,/data/gen/tokens/cap/n5__Fp2-F4.npy
cap,n5,n5,F4-C4,train,314400,/data/gen/tokens/cap/n5__F4-C4.npy
cap,n5,n5,C4-P4,train,314400,/data/gen/tokens/cap/n5__C4-P4.npy
cap,n5,n5,F8-T4,train,314400,/data/gen/tokens/cap/n5__F8-T4.npy
cap,n5,n5,FP1-F3,train,314400,/data/gen/tokens/cap/n5__FP1-F3.npy
cap,n5,n5,F3-C3,train,314400,/data/gen/tokens/cap/n5__F3-C3.npy
cap,n8,n8,C3-A2,train,300300,/data/gen/tokens/cap/n8__C3-A2.npy
cap,n8,n8,C4-P4,train,300300,/data/gen/tokens/cap/n8__C4-P4.npy
cap,n8,n8,F4-C4,train,300300,/data/gen/tokens/cap/n8__F4-C4.npy
cap,n8,n8,Fp2-F4,train,300300,/data/gen/tokens/cap/n8__Fp2-F4.npy
cap,narco3,narco3,Fp2-F4,heldout,460500,/data/gen/tokens/cap/narco3__Fp2-F4.npy
cap,narco3,narco3,F4-C4,heldout,460500,/data/gen/tokens/cap/narco3__F4-C4.npy
cap,narco3,narco3,C4-P4,heldout,460500,/data/gen/tokens/cap/narco3__C4-P4.npy
cap,narco3,narco3,C4-A1,heldout,460500,/data/gen/tokens/cap/narco3__C4-A1.npy
cap,narco4,narco4,Fp2-F4,heldout,393000,/data/gen/tokens/cap/narco4__Fp2-F4.npy
cap,narco4,narco4,F4-C4,heldout,393000,/data/gen/tokens/cap/narco4__F4-C4.npy
cap,narco4,narco4,C4-P4,heldout,393000,/data/gen/tokens/cap/narco4__C4-P4.npy
cap,narco4,narco4,FP1-F3,heldout,393000,/data/gen/tokens/cap/narco4__FP1-F3.npy
cap,narco4,narco4,F3-C3,heldout,393000,/data/gen/tokens/cap/narco4__F3-C3.npy
cap,narco4,narco4,C3-P3,heldout,393000,/data/gen/tokens/cap/narco4__C3-P3.npy
cap,nfle1,nfle1,Fp2-F4,train,326400,/data/gen/tokens/cap/nfle1__Fp2-F4.npy
cap,nfle1,nfle1,F4-C4,train,326400,/data/gen/tokens/cap/nfle1__F4-C4.npy
cap,nfle1,nfle1,C4-P4,train,326400,/data/gen/tokens/cap/nfle1__C4-P4.npy
cap,nfle1,nfle1,F8-T4,train,326400,/data/gen/tokens/cap/nfle1__F8-T4.npy
cap,nfle1,nfle1,FP1-F3,train,326400,/data/gen/tokens/cap/nfle1__FP1-F3.npy
cap,nfle1,nfle1,F3-C3,train,326400,/data/gen/tokens/cap/nfle1__F3-C3.npy
cap,nfle13,nfle13,Fp2-F4,train,324000,/data/gen/tokens/cap/nfle13__Fp2-F4.npy
cap,nfle13,nfle13,F4-C4,train,324000,/data/gen/tokens/cap/nfle13__F4-C4.npy
cap,nfle13,nfle13,C4-P4,train,324000,/data/gen/tokens/cap/nfle13__C4-P4.npy
cap,nfle13,nfle13,F8-T4,train,324000,/data/gen/tokens/cap/nfle13__F8-T4.npy
cap,nfle13,nfle13,FP1-F3,train,324000,/data/gen/tokens/cap/nfle13__FP1-F3.npy
cap,nfle13,nfle13,F3-C3,train,324000,/data/gen/tokens/cap/nfle13__F3-C3.npy
cap,nfle11,nfle11,FP2-F4,train,306000,/data/gen/tokens/cap/nfle11__FP2-F4.npy
cap,nfle11,nfle11,F4-C4,train,306000,/data/gen/tokens/cap/nfle11__F4-C4.npy
cap,nfle11,nfle11,C4-P4,train,306000,/data/gen/tokens/cap/nfle11__C4-P4.npy
cap,nfle11,nfle11,F8-T4,train,306000,/data/gen/tokens/cap/nfle11__F8-T4.npy
cap,nfle11,nfle11,FP1-F3,train,306000,/data/gen/tokens/cap/nfle11__FP1-F3.npy
cap,nfle11,nfle11,F3-C3,train,306000,/data/gen/tokens/cap/nfle11__F3-C3.npy
cap,nfle12,nfle12,Fp2-F4,train,320100,/data/gen/tokens/cap/nfle12__Fp2-F4.npy
cap,nfle12,nfle12,F4-C4,train,320100,/data/gen/tokens/cap/nfle12__F4-C4.npy
cap,nfle12,nfle12,C4-P4,train,320100,/data/gen/tokens/cap/nfle12__C4-P4.npy
cap,nfle12,nfle12,F8-T4,train,320100,/data/gen/tokens/cap/nfle12__F8-T4.npy
cap,nfle12,nfle12,FP1-F3,train,320100,/data/gen/tokens/cap/nfle12__FP1-F3.npy
cap,nfle12,nfle12,F3-C3,train,320100,/data/gen/tokens/cap/nfle12__F3-C3.npy
cap,nfle14,nfle14,Fp2-F4,train,303300,/data/gen/tokens/cap/nfle14__Fp2-F4.npy
cap,nfle14,nfle14,F4-C4,train,303300,/data/gen/tokens/cap/nfle14__F4-C4.npy
cap,nfle14,nfle14,C4-P4,train,303300,/data/gen/tokens/cap/nfle14__C4-P4.npy
cap,nfle14,nfle14,F8-T4,train,303300,/data/gen/tokens/cap/nfle14__F8-T4.npy
cap,nfle14,nfle14,FP1-F3,train,303300,/data/gen/tokens/cap/nfle14__FP1-F3.npy
cap,nfle14,nfle14,F3-C3,train,303300,/data/gen/tokens/cap/nfle14__F3-C3.npy
cap,n4,n4,Fp2-F4,train,357300,/data/gen/tokens/cap/n4__Fp2-F4.npy
cap,n4,n4,F4-C4,train,357300,/data/gen/tokens/cap/n4__F4-C4.npy
cap,n4,n4,C4-P4,train,357300,/data/gen/tokens/cap/n4__C4-P4.npy
cap,n4,n4,C4-A1,train,357300,/data/gen/tokens/cap/n4__C4-A1.npy
cap,nfle15,nfle15,Fp2-F4,train,318300,/data/gen/tokens/cap/nfle15__Fp2-F4.npy
cap,nfle15,nfle15,F4-C4,train,318300,/data/gen/tokens/cap/nfle15__F4-C4.npy
